名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2	可熔炼属性数量	可熔炼纹钢品质
[玄金]紫蟒之沐雪护腕	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	玄金装备，紫蟒级峨嵋掌法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	130	39	4									955	956	874	875	974	975	1017	1018	1334	1335	1294	1295	182			123	4	1427	1274	2	5
[玄金]紫蟒之沐雪束腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	玄金装备，紫蟒级峨嵋掌法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	130	39	4									955	956	914	915	975	976	1217	1218	1334	1335	1294	1295	182			123	5	1649	1274	2	5
[玄金]紫蟒之沐雪衫	0	2	10	\spr\item\equip\armor\obj-fm-cloth12-3.spr	24	2	3	玄金装备，紫蟒级峨嵋掌法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	130	39	4									955	956	934	935	975	976	1177	1178	1236	1236	1294	1295	182			123	6	1427	1274	2	5
[玄金]紫蟒之沐雪缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	玄金装备，紫蟒级峨嵋掌法套装第七件	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	130	39	4									1358	1358	854	855	1117	1118	1017	1018	1334	1335	1294	1295	182			123	7	1427	130	2	5
[玄金]紫蟒之沐雪靴	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	玄金装备，紫蟒级峨嵋掌法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	130	39	4									955	956	894	895	975	976	1197	1198	1257	1258	1294	1295	182			123	8	1427	1410	2	5
[玄金]紫蟒之沐雪香囊	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	玄金装备，紫蟒级峨嵋掌法套装第九件	1	99999	10	0																						36	130	39	4									954	955	874	875	974	975	1017	1018	1334	1335	1294	1295	182			123	9	1650	1274	2	5
[玄金]紫蟒之沐雪下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	玄金装备，紫蟒级峨嵋掌法套装第十件	3	99999	10	0																						36	130	39	4									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	182			123	10	130		2	5
[玄金]紫蟒之青霜珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	玄金装备，紫蟒级翠烟刀法套装第一件	4	99999	10	0																						36	130	39	5									954	955	854	855	975	976	1017	1018	997	998	1294	1295	183			124	1	1652	1274	2	5
[玄金]紫蟒之青霜簪	0	7	9	\spr\item\equip\cap\obj-fm-cap09-3.spr	28	2	2	玄金装备，紫蟒级翠烟刀法套装第二件	0	99999	10	0	30	360	360	31	85	85																36	130	39	5									955	956	894	895	974	975	1197	1198	1334	1335	1294	1295	183			124	2	1427	1274	2	5
[玄金]紫蟒之青霜上戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	玄金装备，紫蟒级翠烟刀法套装第三件	2	99999	10	0																						36	130	39	5									954	955	874	875	975	976	1017	1018	1334	1335	1294	1295	183			124	3	130		2	5
[玄金]紫蟒之青霜袖	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	玄金装备，紫蟒级翠烟刀法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	130	39	5									955	956	914	915	974	975	1217	1218	1334	1335	1294	1295	183			124	4	1427	1411	2	5
[玄金]紫蟒之青霜束腰	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	玄金装备，紫蟒级翠烟刀法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	130	39	5									955	956	934	935	975	976	1177	1178	1334	1335	1294	1295	183			124	5	1653	1274	2	5
[玄金]紫蟒之青霜衫	0	2	9	\spr\item\equip\armor\obj-fm-cloth09-3.spr	24	2	3	玄金装备，紫蟒级翠烟刀法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	130	39	5									955	956	854	855	975	976	1017	1018	1235	1235	1294	1295	183			124	6	1427	1274	2	5
[玄金]紫蟒之青霜刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	玄金装备，紫蟒级翠烟刀法套装第七件	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	130	39	5									1352	1352	894	895	1077	1078	1197	1198	1334	1335	1294	1295	183			124	7	1427	130	2	5
[玄金]紫蟒之青霜靴	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	玄金装备，紫蟒级翠烟刀法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	130	39	5									955	956	874	875	975	976	1017	1018	1257	1258	1294	1295	183			124	8	1427	1274	2	5
[玄金]紫蟒之青霜香囊	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	玄金装备，紫蟒级翠烟刀法套装第九件	1	99999	10	0																						36	130	39	5									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	183			124	9	1654	1274	2	5
[玄金]紫蟒之青霜下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	玄金装备，紫蟒级翠烟刀法套装第十件	3	99999	10	0																						36	130	39	5									954	955	934	935	974	975	1177	1178	1334	1335	1294	1295	183			124	10	130		2	5
[玄金]紫蟒之砌香珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	玄金装备，紫蟒级翠烟双刀套装第一件	0	99999	10	0																						36	130	39	5									954	955	854	855	975	976	1017	1018	997	998	1294	1295	184			125	1	1656	1274	2	5
[玄金]紫蟒之砌香簪	0	7	9	\spr\item\equip\cap\obj-fm-cap09-3.spr	28	2	2	玄金装备，紫蟒级翠烟双刀套装第二件	2	99999	10	0	30	360	360	31	85	85																36	130	39	5									955	956	894	895	974	975	1197	1198	1334	1335	1294	1295	184			125	2	1427	1274	2	5
[玄金]紫蟒之砌香上戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	玄金装备，紫蟒级翠烟双刀套装第三件	1	99999	10	0																						36	130	39	5									954	955	874	875	975	976	1017	1018	1334	1335	1294	1295	184			125	3	130		2	5
[玄金]紫蟒之砌香袖	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	玄金装备，紫蟒级翠烟双刀套装第四件	3	99999	10	0	30	135	135	31	80	80																36	130	39	5									955	956	914	915	974	975	1217	1218	1334	1335	1294	1295	184			125	4	1657	1274	2	5
[玄金]紫蟒之砌香腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	玄金装备，紫蟒级翠烟双刀套装第五件	4	99999	10	0	30	160	160	31	80	80																36	130	39	5									955	956	934	935	975	976	1177	1178	1334	1335	1294	1295	184			125	5	1427	1412	2	5
[玄金]紫蟒之砌香衫	0	2	9	\spr\item\equip\armor\obj-fm-cloth09-3.spr	24	2	3	玄金装备，紫蟒级翠烟双刀套装第六件	0	99999	10	0	30	720	720	31	90	90																36	130	39	5									955	956	854	855	975	976	1017	1018	1235	1235	1294	1295	184			125	6	1427	1274	2	5
[玄金]紫蟒之砌香鸳鸯刀	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	玄金装备，紫蟒级翠烟双刀套装第七件	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	130	39	5									1358	1358	894	895	1117	1118	1197	1198	1334	1335	1294	1295	184			125	7	1427	130	2	5
[玄金]紫蟒之砌香靴	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	玄金装备，紫蟒级翠烟双刀套装第八件	1	99999	10	0	30	160	160	31	80	80																36	130	39	5									955	956	874	875	975	976	1017	1018	1257	1258	1294	1295	184			125	8	1427	1274	2	5
[玄金]紫蟒之砌香香囊	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	玄金装备，紫蟒级翠烟双刀套装第九件	3	99999	10	0																						36	130	39	5									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	184			125	9	1658	1274	2	5
[玄金]紫蟒之砌香下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	玄金装备，紫蟒级翠烟双刀套装第十件	4	99999	10	0																						36	130	39	5									954	955	934	935	974	975	1177	1178	1334	1335	1294	1295	184			125	10	130		2	5
[玄金]紫蟒之蚀骨项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，紫蟒级五毒掌法套装第一件	0	99999	10	0																						36	130	39	3									954	955	854	855	975	976	1017	1018	997	998	1294	1295	185			126	1	1660	1274	2	5
[玄金]紫蟒之蚀骨发带	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	玄金装备，紫蟒级五毒掌法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	130	39	3									955	956	894	895	974	975	1197	1198	1334	1335	1294	1295	185			126	2	1427	1274	2	5
[玄金]紫蟒之蚀骨上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，紫蟒级五毒掌法套装第三件	1	99999	10	0																						36	130	39	3									954	955	874	875	975	976	1017	1018	1334	1335	1294	1295	185			126	3	130		2	5
[玄金]紫蟒之蚀骨护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，紫蟒级五毒掌法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	130	39	3									955	956	914	915	974	975	1217	1218	1334	1335	1294	1295	185			126	4	1427	1274	2	5
[玄金]紫蟒之蚀骨腰带	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	玄金装备，紫蟒级五毒掌法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	130	39	3									955	956	934	935	975	976	1177	1178	1334	1335	1294	1295	185			126	5	1661	1274	2	5
[玄金]紫蟒之蚀骨秘装	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	玄金装备，紫蟒级五毒掌法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	130	39	3									955	956	854	855	975	976	1017	1018	1235	1235	1294	1295	185			126	6	1427	1413	2	5
[玄金]紫蟒之蚀骨缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	玄金装备，紫蟒级五毒掌法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	130	39	3									1057	1057	894	895	1097	1098	1197	1198	1334	1335	1294	1295	185			126	7	1427	130	2	5
[玄金]紫蟒之蚀骨靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	玄金装备，紫蟒级五毒掌法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	130	39	3									955	956	874	875	975	976	1017	1018	1257	1258	1294	1295	185			126	8	1427	1274	2	5
[玄金]紫蟒之蚀骨腰坠	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	玄金装备，紫蟒级五毒掌法套装第九件	3	99999	10	0																						36	130	39	3									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	185			126	9	1662	1274	2	5
[玄金]紫蟒之蚀骨下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，紫蟒级五毒掌法套装第十件	4	99999	10	0																						36	130	39	3									954	955	934	935	974	975	1177	1178	1334	1335	1294	1295	185			126	10	130		2	5
[玄金]紫蟒之穿心项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，紫蟒级五毒刀法套装第一件	0	99999	10	0																						36	130	39	3									954	955	854	855	975	976	1017	1018	997	998	1294	1295	186			127	1	1664	1274	2	5
[玄金]紫蟒之穿心发带	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	玄金装备，紫蟒级五毒刀法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	130	39	3									955	956	894	895	974	975	1197	1198	1334	1335	1294	1295	186			127	2	1427	1274	2	5
[玄金]紫蟒之穿心上戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	玄金装备，紫蟒级五毒刀法套装第三件	1	99999	10	0																						36	130	39	3									954	955	874	875	975	976	1017	1018	1334	1335	1294	1295	186			127	3	130		2	5
[玄金]紫蟒之穿心护腕	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	玄金装备，紫蟒级五毒刀法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	130	39	3									955	956	914	915	974	975	1217	1218	1334	1335	1294	1295	186			127	4	1427	1274	2	5
[玄金]紫蟒之穿心腰带	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	玄金装备，紫蟒级五毒刀法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	130	39	3									955	956	934	935	975	976	1177	1178	1334	1335	1294	1295	186			127	5	1665	1274	2	5
[玄金]紫蟒之穿心秘装	0	2	2	\spr\item\equip\armor\obj-ma-cloth09-3.spr	22	2	3	玄金装备，紫蟒级五毒刀法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	130	39	3									955	956	854	855	975	976	1017	1018	1235	1235	1294	1295	186			127	6	1427	1414	2	5
[玄金]紫蟒之穿心刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	玄金装备，紫蟒级五毒刀法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	130	39	3									1037	1037	894	895	1077	1078	1197	1198	1319	1320	1294	1295	186			127	7	1427	130	2	5
[玄金]紫蟒之穿心靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	玄金装备，紫蟒级五毒刀法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	130	39	3									955	956	874	875	975	976	1017	1018	1257	1258	1294	1295	186			127	8	1427	1274	2	5
[玄金]紫蟒之穿心腰坠	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	玄金装备，紫蟒级五毒刀法套装第九件	3	99999	10	0																						36	130	39	3									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	186			127	9	1666	1274	2	5
[玄金]紫蟒之穿心下戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，紫蟒级五毒刀法套装第十件	4	99999	10	0																						36	130	39	3									954	955	934	935	974	975	1177	1178	1334	1335	1294	1295	186			127	10	130		2	5
[玄金]紫蟒之狼牙项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，紫蟒级唐门飞刀套装第一件	4	99999	10	0																						36	130	39	2									954	955	934	935	975	976	1177	1178	997	998	1294	1295	187			128	1	1668	1274	2	5
[玄金]紫蟒之狼牙冠	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	玄金装备，紫蟒级唐门飞刀套装第二件	0	99999	10	0	30	360	360	31	85	85																36	130	39	2									955	956	854	855	974	975	1017	1018	1334	1335	1294	1295	187			128	2	1427	1274	2	5
[玄金]紫蟒之狼牙上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，紫蟒级唐门飞刀套装第三件	2	99999	10	0																						36	130	39	2									954	955	894	895	975	976	1197	1198	1334	1335	1294	1295	187			128	3	130		2	5
[玄金]紫蟒之狼牙护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，紫蟒级唐门飞刀套装第四件	1	99999	10	0	30	135	135	31	80	80																36	130	39	2									955	956	874	875	974	975	1017	1018	1334	1335	1294	1295	187			128	4	1427	1274	2	5
[玄金]紫蟒之狼牙缠腰	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	玄金装备，紫蟒级唐门飞刀套装第五件	3	99999	10	0	30	160	160	31	80	80																36	130	39	2									955	956	914	915	975	976	1217	1218	1334	1335	1294	1295	187			128	5	1669	1274	2	5
[玄金]紫蟒之狼牙甲衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	玄金装备，紫蟒级唐门飞刀套装第六件	4	99999	10	0	30	720	720	31	90	90																36	130	39	2									955	956	934	935	975	976	1177	1178	1235	1235	1294	1295	187			128	6	1427	1415	2	5
[玄金]紫蟒之狼牙飞刀	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	玄金装备，紫蟒级唐门飞刀套装第七件	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	130	39	2									1354	1354	854	855	1077	1078	1017	1018	1334	1335	1294	1295	187			128	7	1427	130	2	5
[玄金]紫蟒之狼牙履	0	5	1	\spr\item\equip\boots\obj-shoes08.spr	26	2	2	玄金装备，紫蟒级唐门飞刀套装第八件	2	99999	10	0	30	160	160	31	80	80																36	130	39	2									955	956	894	895	975	976	1197	1198	1257	1258	1294	1295	187			128	8	1427	1274	2	5
[玄金]紫蟒之狼牙腰坠	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	玄金装备，紫蟒级唐门飞刀套装第九件	1	99999	10	0																						36	130	39	2									954	955	874	875	974	975	1017	1018	1334	1335	1294	1295	187			128	9	1670	1274	2	5
[玄金]紫蟒之狼牙下戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，紫蟒级唐门飞刀套装第十件	3	99999	10	0																						36	130	39	2									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	187			128	10	130		2	5
[玄金]紫蟒之青雾项链	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	玄金装备，紫蟒级唐门弩箭套装第一件	4	99999	10	0																						36	130	39	2									954	955	934	935	975	976	1177	1178	997	998	1294	1295	188			129	1	1668	1274	2	5
[玄金]紫蟒之青雾冠	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	玄金装备，紫蟒级唐门弩箭套装第二件	0	99999	10	0	30	360	360	31	85	85																36	130	39	2									955	956	854	855	974	975	1017	1018	1334	1335	1294	1295	188			129	2	1427	1274	2	5
[玄金]紫蟒之青雾上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，紫蟒级唐门弩箭套装第三件	2	99999	10	0																						36	130	39	2									954	955	894	895	975	976	1197	1198	1334	1335	1294	1295	188			129	3	130		2	5
[玄金]紫蟒之青雾护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，紫蟒级唐门弩箭套装第四件	1	99999	10	0	30	135	135	31	80	80																36	130	39	2									955	956	874	875	974	975	1017	1018	1334	1335	1294	1295	188			129	4	1427	1274	2	5
[玄金]紫蟒之青雾束腰	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	玄金装备，紫蟒级唐门弩箭套装第五件	3	99999	10	0	30	160	160	31	80	80																36	130	39	2									955	956	914	915	975	976	1217	1218	1334	1335	1294	1295	188			129	5	1669	1274	2	5
[玄金]紫蟒之青雾甲衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	玄金装备，紫蟒级唐门弩箭套装第六件	4	99999	10	0	30	720	720	31	90	90																36	130	39	2									955	956	934	935	975	976	1177	1178	1235	1235	1294	1295	188			129	6	1427	1274	2	5
[玄金]紫蟒之青雾袖箭	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	玄金装备，紫蟒级唐门弩箭套装第七件	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	130	39	2									1354	1354	854	855	1077	1078	1017	1018	1334	1335	1294	1295	188			129	7	1427	130	2	5
[玄金]紫蟒之青雾履	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	玄金装备，紫蟒级唐门弩箭套装第八件	2	99999	10	0	30	160	160	31	80	80																36	130	39	2									955	956	894	895	975	976	1197	1198	1257	1258	1294	1295	188			129	8	1427	1416	2	5
[玄金]紫蟒之青雾坠	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	玄金装备，紫蟒级唐门弩箭套装第九件	1	99999	10	0																						36	130	39	2									954	955	874	875	974	975	1017	1018	1334	1335	1294	1295	188			129	9	1672	1274	2	5
[玄金]紫蟒之青雾下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，紫蟒级唐门弩箭套装第十件	3	99999	10	0																						36	130	39	2									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	188			129	10	130		2	5
[玄金]紫蟒之风霜项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	玄金装备，紫蟒级唐门飞镖套装第一件	4	99999	10	0																						36	130	39	2									954	955	934	935	975	976	1177	1178	997	998	1294	1295	189			130	1	1668	1274	2	5
[玄金]紫蟒之风霜发冠	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	玄金装备，紫蟒级唐门飞镖套装第二件	0	99999	10	0	30	360	360	31	85	85																36	130	39	2									955	956	854	855	974	975	1017	1018	1334	1335	1294	1295	189			130	2	1427	1274	2	5
[玄金]紫蟒之风霜上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，紫蟒级唐门飞镖套装第三件	2	99999	10	0																						36	130	39	2									954	955	894	895	975	976	1197	1198	1334	1335	1294	1295	189			130	3	130		2	5
[玄金]紫蟒之风霜护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，紫蟒级唐门飞镖套装第四件	1	99999	10	0	30	135	135	31	80	80																36	130	39	2									955	956	874	875	974	975	1017	1018	1334	1335	1294	1295	189			130	4	1427	1274	2	5
[玄金]紫蟒之风霜束腰	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	玄金装备，紫蟒级唐门飞镖套装第五件	3	99999	10	0	30	160	160	31	80	80																36	130	39	2									955	956	914	915	975	976	1217	1218	1334	1335	1294	1295	189			130	5	1669	1274	2	5
[玄金]紫蟒之风霜甲衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth12-3.spr	22	2	3	玄金装备，紫蟒级唐门飞镖套装第六件	4	99999	10	0	30	720	720	31	90	90																36	130	39	2									955	956	934	935	975	976	1177	1178	1235	1235	1294	1295	189			130	6	1427	1274	2	5
[玄金]紫蟒之风霜镖	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	玄金装备，紫蟒级唐门飞镖套装第七件	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	130	39	2									1354	1354	854	855	1077	1078	1017	1018	1334	1335	1294	1295	189			130	7	1427	130	2	5
[玄金]紫蟒之风霜履	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	玄金装备，紫蟒级唐门飞镖套装第八件	2	99999	10	0	30	160	160	31	80	80																36	130	39	2									955	956	894	895	975	976	1197	1198	1257	1258	1294	1295	189			130	8	1427	1417	2	5
[玄金]紫蟒之风霜腰坠	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	玄金装备，紫蟒级唐门飞镖套装第九件	1	99999	10	0																						36	130	39	2									954	955	874	875	974	975	1017	1018	1334	1335	1294	1295	189			130	9	1674	1274	2	5
[玄金]紫蟒之风霜下戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	玄金装备，紫蟒级唐门飞镖套装第十件	3	99999	10	0																						36	130	39	2									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	189			130	10	130		2	5
[玄金]紫蟒之密云项链	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	玄金装备，紫蟒级丐帮掌法套装第一件	1	99999	10	0																						36	130	39	6									954	955	854	855	975	976	1017	1018	997	998	1294	1295	190			131	1	1676	1274	2	5
[玄金]紫蟒之密云头环	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	玄金装备，紫蟒级丐帮掌法套装第二件	3	99999	10	0	30	360	360	31	85	85																36	130	39	6									955	956	894	895	974	975	1197	1198	1334	1335	1294	1295	190			131	2	1427	1274	2	5
[玄金]紫蟒之密云上戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	玄金装备，紫蟒级丐帮掌法套装第三件	4	99999	10	0																						36	130	39	6									954	955	874	875	975	976	1017	1018	1334	1335	1294	1295	190			131	3	130		2	5
[玄金]紫蟒之密云护腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	玄金装备，紫蟒级丐帮掌法套装第四件	0	99999	10	0	30	135	135	31	80	80																36	130	39	6									955	956	914	915	974	975	1217	1218	1334	1335	1294	1295	190			131	4	1427	1274	2	5
[玄金]紫蟒之密云束腰	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	玄金装备，紫蟒级丐帮掌法套装第五件	2	99999	10	0	30	160	160	31	80	80																36	130	39	6									955	956	934	935	975	976	1177	1178	1334	1335	1294	1295	190			131	5	1677	1274	2	5
[玄金]紫蟒之密云丐衣	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	玄金装备，紫蟒级丐帮掌法套装第六件	1	99999	10	0	30	720	720	31	90	90																36	130	39	6									955	956	854	855	975	976	1017	1018	1235	1235	1294	1295	190			131	6	1427	1274	2	5
[玄金]紫蟒之密云缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	玄金装备，紫蟒级丐帮掌法套装第七件	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	130	39	6									1358	1358	894	895	1137	1138	1197	1198	1334	1335	1294	1295	190			131	7	1427	130	2	5
[玄金]紫蟒之密云靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	玄金装备，紫蟒级丐帮掌法套装第八件	4	99999	10	0	30	160	160	31	80	80																36	130	39	6									955	956	874	875	975	976	1017	1018	1257	1258	1294	1295	190			131	8	1678	1274	2	5
[玄金]紫蟒之密云腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	玄金装备，紫蟒级丐帮掌法套装第九件	0	99999	10	0																						36	130	39	6									954	955	914	915	974	975	1217	1218	1334	1335	1294	1295	190			131	9	1427	1418	2	5
[玄金]紫蟒之密云下戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	玄金装备，紫蟒级丐帮掌法套装第十件	2	99999	10	0																						36	130	39	6									954	955	934	935	974	975	1177	1178	1334	1335	1294	1295	190			131	10	130		2	5
[玄金]紫蟒之火云项链	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	玄金装备，紫蟒级丐帮棍法套装第一件	0	99999	10	0																						36	130	39	6									954	955	854	855	975	976	1017	1018	997	998	1294	1295	191			132	1	1680	1274	2	5
[玄金]紫蟒之火云头环	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	玄金装备，紫蟒级丐帮棍法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	130	39	6									955	956	894	895	974	975	1197	1198	1334	1335	1294	1295	191			132	2	1427	1274	2	5
