名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值
易容面具-东北山贼甲	0	11	282	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		157	157													44	10080	10080															
易容面具-东北山贼乙	0	11	283	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		158	158													44	10080	10080															
易容面具-华北山贼甲	0	11	284	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		159	159													44	10080	10080															
易容面具-华北山贼乙	0	11	285	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		160	160													44	10080	10080															
易容面具-中原山贼甲	0	11	286	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		161	161													44	10080	10080															
易容面具-中原山贼乙	0	11	287	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		162	162													44	10080	10080															
易容面具-山贼甲	0	11	288	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		163	163													44	10080	10080															
易容面具-山贼乙	0	11	289	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		164	164													44	10080	10080															
易容面具-山贼丙	0	11	290	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		165	165													44	10080	10080															
易容面具-山贼丁	0	11	291	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		166	166													44	10080	10080															
易容面具-山贼戊	0	11	292	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		167	167													44	10080	10080															
易容面具-山贼己	0	11	293	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		168	168													44	10080	10080															
易容面具-山贼庚	0	11	294	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		169	169													44	10080	10080															
易容面具-怪人	0	11	295	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		176	176													44	10080	10080															
易容面具-木人	0	11	296	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		190	190													44	10080	10080															
易容面具-铜人	0	11	297	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		191	191													44	10080	10080															
易容面具-女刺客	0	11	298	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		192	192													44	10080	10080															
易容面具-尼姑清和	0	11	299	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		193	193													44	10080	10080															
易容面具-妙隐	0	11	300	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		470	470													44	10080	10080															
易容面具-叶冰痕	0	11	301	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		471	471													44	10080	10080															
易容面具-秦倚风	0	11	302	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		473	473													44	10080	10080															
易容面具-谢云萝	0	11	303	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		474	474													44	10080	10080															
易容面具-青莲子	0	11	304	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		476	476													44	10080	10080															
易容面具-童夕颜	0	11	305	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		478	478													44	10080	10080															
易容面具-魏了翁	0	11	306	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		480	480													44	10080	10080															
易容面具-战斗和尚	0	11	307	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		411	411													44	10080	10080															
易容面具-罗匡生	0	11	308	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		483	483													44	10080	10080															
易容面具-唐仇	0	11	309	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		485	485													44	10080	10080															
易容面具-唐闲	0	11	310	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		486	486													44	10080	10080															
易容面具-唐云	0	11	311	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		487	487													44	10080	10080															
易容面具-唐野	0	11	312	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		488	488													44	10080	10080															
易容面具-夏诚	0	11	313	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		491	491													44	10080	10080															
易容面具-黑面郎君	0	11	314	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		492	492													44	10080	10080															
易容面具-屠异	0	11	315	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		493	493													44	10080	10080															
易容面具-战斗尼姑	0	11	316	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		412	412													44	10080	10080															
易容面具-金国官员	0	11	317	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		49	49													44	10080	10080															
易容面具-龙八	0	11	318	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1042	1042													44	10080	10080															
易容面具-廖岐	0	11	319	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		501	501													44	10080	10080															
易容面具-凤翕如	0	11	320	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		502	502													44	10080	10080															
易容面具-徐自力	0	11	321	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		680	680													44	10080	10080															
易容面具-剑十三	0	11	322	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		505	505													44	10080	10080															
易容面具-燕九	0	11	323	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		506	506													44	10080	10080															
易容面具-彭连德	0	11	324	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		507	507													44	10080	10080															
易容面具-刘飞龙	0	11	325	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		508	508													44	10080	10080															
易容面具-莫小莹	0	11	326	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		509	509													44	10080	10080															
易容面具-谭三腿	0	11	327	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		510	510													44	10080	10080															
易容面具-神秘中年男子	0	11	328	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		652	652													44	10080	10080															
易容面具-龙五	0	11	329	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		664	664													44	10080	10080															
易容面具-路长天	0	11	330	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		669	669													44	10080	10080															
易容面具-武林人物	0	11	331	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		670	670													44	10080	10080															
易容面具-潘如龙	0	11	332	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		671	671													44	10080	10080															
易容面具-蒙古武士	0	11	333	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		673	673													44	10080	10080															
易容面具-水贼	0	11	334	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		674	674													44	10080	10080															
易容面具-荷花盗	0	11	335	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		675	675													44	10080	10080															
易容面具-龙追舞	0	11	336	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		676	676													44	10080	10080															
易容面具-廖定	0	11	337	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		694	694													44	10080	10080															
易容面具-落光	0	11	338	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		54	54													44	43200	43200															
易容面具-银牙	0	11	339	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		56	56													44	43200	43200															
易容面具-霜刀	0	11	340	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		57	57													44	43200	43200															
易容面具-冷弓	0	11	341	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		59	59													44	43200	43200															
易容面具-寒枪	0	11	342	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		63	63													44	43200	43200															
易容面具-奔雷	0	11	343	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		94	94													44	43200	43200															
易容面具-独步	0	11	344	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		109	109													44	43200	43200															
易容面具-降锤	0	11	345	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		113	113													44	43200	43200															
易容面具-赤掌	0	11	346	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		134	134													44	43200	43200															
易容面具-狼棒	0	11	347	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		157	157													44	43200	43200															
易容面具-步嚣尘	0	11	348	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		851	851													44	43200	43200															
易容面具-乔鼎天	0	11	349	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		852	852													44	43200	43200															
易容面具-刁易刀	0	11	350	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		853	853													44	43200	43200															
易容面具-西门无戒	0	11	351	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		854	854													44	43200	43200															
易容面具-候乞剑	0	11	352	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		855	855													44	43200	43200															
易容面具-应啸风	0	11	353	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		856	856													44	43200	43200															
易容面具-袁念夕	0	11	354	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		857	857													44	43200	43200															
易容面具-褚天悯	0	11	355	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		858	858													44	43200	43200															
易容面具-%天王%	0	11	356	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1193	1193													44	7200	7200															
易容面具-乱世英豪げ彎	0	11	357	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1194	1194													44	7200	7200															
易容面具-追命居士	0	11	358	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1195	1195													44	7200	7200															
易容面具-神仙也不过如此	0	11	359	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1196	1196													44	7200	7200															
易容面具-鹅战血	0	11	360	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1197	1197													44	7200	7200															
易容面具-蝴蝶贝贝	0	11	361	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1198	1198													44	7200	7200															
易容面具-玉海楼の勿忘我	0	11	362	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1199	1199													44	7200	7200															
易容面具-♂清香々『天忍』	0	11	363	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1200	1200													44	7200	7200															
易容面具-古道风	0	11	364	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1201	1201													44	7200	7200															
易容面具-惹火的女人	0	11	365	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1202	1202													44	7200	7200															
伪装面具	0	11	366	\spr\item\equip\mask\yrmj_03.spr	379	1	1	戴上后获得一个伪装技能，对戴有面具的其他玩家使用，可伪装成对方的样子。		100	1	0		-1	-1													44	1440	1440	187	188682	188682												
VINAGAME_GM	0	11	367	\spr\item\equip\mask\yrmj_02.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1204	1204													31	1	1															
TaiwanGAME_GM	0	11	368	\spr\item\equip\mask\yrmj_02.spr	379	1	1	用于易容术的面具，装备到装备栏中即可变成该NPC的样子。		100	1	0		1205	1205													31	1	1															
易容面具-落光	0	11	369	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		54	54													44	1440	1440															
易容面具-银牙	0	11	370	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		56	56													44	1440	1440															
易容面具-霜刀	0	11	371	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		57	57													44	1440	1440															
易容面具-冷弓	0	11	372	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		59	59													44	1440	1440															
易容面具-寒枪	0	11	373	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		63	63													44	1440	1440															
易容面具-奔雷	0	11	374	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		94	94													44	1440	1440															
易容面具-独步	0	11	375	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		109	109													44	1440	1440															
易容面具-降锤	0	11	376	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		113	113													44	1440	1440															
易容面具-赤掌	0	11	377	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		134	134													44	1440	1440															
易容面具-狼棒	0	11	378	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		157	157													44	1440	1440															
易容面具-张宗正	0	11	379	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		511	511													44	1440	1440															
易容面具-柳青青	0	11	380	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		523	523													44	1440	1440															
易容面具-扇客	0	11	381	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		602	602													44	1440	1440															
易容面具-玄觉大师	0	11	382	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	2	1		740	740													44	1440	1440															
易容面具-龙五	0	11	383	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		664	664													44	1440	1440															
易容面具-刀双凤	0	11	384	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1222	1222													44	7200	7200															
易容面具-慕容燕	0	11	385	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1223	1223													44	7200	7200															
易容面具-紫侠	0	11	386	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1224	1224													44	7200	7200															
易容面具-白石道长	0	11	387	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1225	1225													44	7200	7200															
易容面具-开石大师	0	11	388	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1226	1226													44	7200	7200															
易容面具-唐神	0	11	389	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1227	1227													44	7200	7200															
易容面具-月遥遥	0	11	390	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1228	1228													44	7200	7200															
易容面具-燕赵	0	11	391	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1229	1229													44	7200	7200															
易容面具-柳飞烟	0	11	392	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1230	1230													44	7200	7200															
易容面具-龙十三爷	0	11	393	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1231	1231													44	7200	7200															
易容面具-圣诞老人(红)	0	11	394	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞老人的样子，使用时间为零后将会自动消失。		100	1	0		623	623													44	10080	10080															
易容面具-圣诞天使(红)	0	11	395	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞天使的样子，使用时间为零后将会自动消失。		100	1	0		624	624													44	10080	10080															
易容面具-圣诞精灵(绿)	0	11	396	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1121	1121													44	20160	20160															
易容面具-圣诞老人(蓝)	0	11	397	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞老人的样子，使用时间为零后将会自动消失。		100	1	0		1130	1130													44	20160	20160															
易容面具-圣诞老人(粉)	0	11	398	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞老人的样子，使用时间为零后将会自动消失。		100	1	0		1131	1131													44	20160	20160															
易容面具-圣诞老人(白)	0	11	399	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞老人的样子，使用时间为零后将会自动消失。		100	1	0		1132	1132													44	20160	20160															
易容面具-圣诞老人(黄)	0	11	400	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞老人的样子，使用时间为零后将会自动消失。		100	1	0		1133	1133													44	20160	20160															
易容面具-圣诞天使(蓝)	0	11	401	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞天使的样子，使用时间为零后将会自动消失。		100	1	0		1134	1134													44	20160	20160															
易容面具-圣诞天使(粉)	0	11	402	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞天使的样子，使用时间为零后将会自动消失。		100	1	0		1135	1135													44	20160	20160															
易容面具-圣诞天使(白)	0	11	403	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞天使的样子，使用时间为零后将会自动消失。		100	1	0		1136	1136													44	20160	20160															
易容面具-圣诞天使(黄)	0	11	404	\spr\item\equip\mask\yrmj_02.spr	379	1	1	圣诞节日面具，装备到装备栏中即可变成圣诞天使的样子，使用时间为零后将会自动消失。		100	1	0		1137	1137													44	20160	20160															
易容面具-驯鹿	0	11	405	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1125	1125													44	20160	20160															
易容面具-新年侠客	0	11	406	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1122	1122													44	7200	7200															
易容面具-新年侠女	0	11	407	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1123	1123													44	7200	7200															
易容面具-野叟	0	11	408	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		852	852													44	43200	43200															
易容面具-吉祥宝宝	0	11	409	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1249	1249													44	7200	7200															
易容面具-如意宝宝	0	11	410	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1250	1250													44	7200	7200															
易容面具-年兽宝宝	0	11	411	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1251	1251													44	7200	7200															
易容面具-少年雷剑	0	11	412	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1056	1056													44	7200	7200															
易容面具-少年笑霜	0	11	413	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1057	1057													44	7200	7200															
易容面具-少年火刃	0	11	414	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1058	1058													44	7200	7200															
易容面具-少年海棠	0	11	415	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1059	1059													44	7200	7200															
易容面具-少年金锋	0	11	416	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		1060	1060													44	7200	7200															
易容面具-白城郡主	0	11	417	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		695	695													44	10080	10080															
易容面具-兰陵公子	0	11	418	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		696	696													44	10080	10080															
易容面具-秦婆婆	0	11	419	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		121	121													44	7200	7200															
易容面具-东子	0	11	420	\spr\item\equip\mask\yrmj_02.spr	379	1	1	戴上后即可易容成该NPC的样子，使用时间为零后将会自动消失。		100	1	0		471	471													44	7200	7200															
